Function,Parameters,Start Line,End Line,Direct Callers,Direct Dependencies,Services,Destructive/Write Ops,Public Naming,Reachability,Risk Hint
buildMonthlyChangeReport,,9871,9888,,buildMonthlyChangeReportForMonth_; markRuntimeStep_; promptForLockedYearReportMonth_; startRuntimeTiming_; writeRuntimeTimingReport_,,,Public,Reachable,Low
buildMonthlyChangeReportForMonth_,"monthParts, timing",9889,9998,buildMonthlyChangeReport; runMonthlyUpdate,buildMonthlyChangeReportSectionLayout_; buildMonthlySheetName_; compareRawDemoPForSectionReport_; createIndexSheet; formatDateForSheetName_; formatMonthlyChangeReportSectionSheet_; getCurrentRawDataSheet_; getPreviousRawDataSheet_; getSheetDefinitionByType_; loadDashboardConfig_; markRuntimeStep_; notify_; populateMonthlyChangeReportSections_; setUniqueSheetName_,SpreadsheetApp,copyTo; deleteSheet,Private/helper,Reachable,High
getOrBuildMonthlyChangeReport_,"ss, monthParts, currentDemo, previousDemo, timing",9999,10054,updateMasterListForMonth_,buildMonthlyChangeReportSectionLayout_; buildMonthlySheetName_; compareRawDemoPForSectionReport_; formatMonthlyChangeReportSectionSheet_; getMonthlySheetByPrefixAndDate_; getSheetDefinitionByType_; loadDashboardConfig_; markRuntimeStep_; populateMonthlyChangeReportSections_; setUniqueSheetName_,,copyTo,Private/helper,Reachable,High
compareRawDemoPForSectionReport_,"previousDemo, currentDemo, monthParts",10055,10247,buildMonthlyChangeReportForMonth_; getOrBuildMonthlyChangeReport_,getChangedColumnsForSectionRows_; getFieldValueFromRow_; getMostRecentDateFromRowsByHeader_; getRawDemoPDataForCompare_; isParticipantEnrollmentStatusDisenrolled_; isSameDate_; rowsWithDOBOnlyForSection_,,,Private/helper,Reachable,Low
rowsWithDOBOnlyForSection_,"items, headerMap",10248,10254,compareRawDemoPForSectionReport_,getDOBIndex_; normalizeCompareValue_,,,Private/helper,Reachable,Low
getChangedColumnsForSectionRows_,"currentItems, previousItems, currentHeaders, previousHeaders, columnsToCompare, currentHeaderMap, previousHeaderMap",10255,10270,compareRawDemoPForSectionReport_,buildColumnSignaturesForSection_,,,Private/helper,Reachable,Low
buildColumnSignaturesForSection_,"items, headerMap, columnsToCompare",10271,10283,getChangedColumnsForSectionRows_,normalizeCompareValue_,,sort,Private/helper,Reachable,High
compareRawDemoPForChanges_,"previousDemo, currentDemo, monthParts",10284,10446,,addMCRRow_; buildContactCompareMap_; compareSingleFieldAndAdd_; getFieldValueFromRow_; getRawDemoPDataForCompare_; isSameDate_; isSameMonth_; normalizeCompareValue_; valuesAreEqual_,,,Private/helper,No static path,Low
getRawDemoPDataForCompare_,sheet,10447,10514,compareRawDemoPForChanges_; compareRawDemoPForSectionReport_,getDOBIndex_; getDataValues_; getPMRIndex_; normalizeCompareValue_; normalizePMR_,,,Private/helper,Reachable,Low
compareSingleFieldAndAdd_,"outputRows,
  changedPMRs,
  section,
  pmr,
  previousItem,
  currentItem,
  previousData,
  currentData,
  field,
  monthParts,
  skipIfCurrentDOBBlank",10515,10563,compareRawDemoPForChanges_,addMCRRow_; getDOBIndex_; getFieldValueFromRow_; normalizeCompareValue_; valuesAreEqual_,,,Private/helper,No static path,Low
addMCRRow_,"outputRows,
  changedPMRs,
  section,
  pmr,
  currentItem,
  previousItem,
  currentData,
  previousData,
  field,
  previousValue,
  currentValue,
  monthParts",10564,10606,compareRawDemoPForChanges_; compareSingleFieldAndAdd_,buildParticipantName_; displayValueForReport_; getFieldValueFromRow_,,,Private/helper,No static path,Low
buildContactCompareMap_,"rows, headerMap, pmr",10607,10625,collectFrameworkSmokeValidationRows_; compareRawDemoPForChanges_,getFieldValueFromRow_; normalizeCompareValue_,,,Private/helper,Reachable,Low
getFieldValueFromRow_,"row, headerMap, field",10626,10631,addMCRRow_; buildContactCompareMap_; buildParticipantName_; compareRawDemoPForChanges_; compareRawDemoPForSectionReport_; compareSingleFieldAndAdd_,,,,Private/helper,Reachable,Low
buildParticipantName_,"row, headerMap",10632,10648,addMCRRow_,getFieldValueFromRow_; normalizeCompareValue_,,,Private/helper,No static path,Low
displayValueForReport_,value,10649,10655,addMCRRow_,formatDateDisplay_,,,Private/helper,No static path,Low
buildMonthlyChangeReportSectionLayout_,"reportSheet, sourceSheet, headers, monthParts",10656,10679,buildMonthlyChangeReportForMonth_; getOrBuildMonthlyChangeReport_,getMonthlyChangeReportHeaders_; padRowToWidth_; resizeSheetGrid_; stripMonthlyChangeNativeBandings_,,setValue; setValues,Private/helper,Reachable,High
padRowToWidth_,"rowValues, width",10680,10686,appendMonthlyChangeCompiledRow_; appendMonthlyChangeSectionBlock_; buildMonthlyChangeReportSectionLayout_,,,,Private/helper,Reachable,Low
stripMonthlyChangeNativeBandings_,reportSheet,10687,10696,buildMonthlyChangeReportSectionLayout_; formatMonthlyChangeReportSectionSheet_; populateMonthlyChangeReportSections_,,,,Private/helper,Reachable,Low
getMonthlyChangeSectionSpecs_,sectionData,10697,10743,populateMonthlyChangeReportSections_,,,,Private/helper,Reachable,Low
buildMonthlyChangeSectionRows_,"currentData, pmrSet, sectionTitle, rowMode, changedColumnsByPMR, monthParts",10744,10790,populateMonthlyChangeReportSections_,buildMonthlyChangeReportRow_; findHeaderIndex_; getDOBIndex_; getMonthlyChangeReportDateIndexes_; getMonthlyChangeReportHeaders_; getPMRIndex_; isDateInStrictLocalRangeInclusive_; isSameDate_; normalizeCompareValue_,,sort,Private/helper,Reachable,High
appendMonthlyChangeCompiledRow_,"matrix, rowValues, backgroundColor, fontWeight, fontSize, lastCol",10791,10798,appendMonthlyChangeSectionBlock_,padRowToWidth_,,,Private/helper,Reachable,Low
appendMonthlyChangeSectionBlock_,"matrix, spec, dataRows, reportHeaders, theme, lastCol, globals",10799,10828,populateMonthlyChangeReportSections_,appendMonthlyChangeCompiledRow_; padRowToWidth_,,,Private/helper,Reachable,Low
populateMonthlyChangeReportSections_,"reportSheet, sectionData, monthParts",10829,10881,buildMonthlyChangeReportForMonth_; getOrBuildMonthlyChangeReport_,appendMonthlyChangeSectionBlock_; buildMonthlyChangeSectionRows_; getMonthlyChangeReportHeaders_; getMonthlyChangeSectionSpecs_; getSheetDefinitionByType_; getThemeColorsFromBase_; loadDashboardConfig_; resizeSheetGrid_; stripMonthlyChangeNativeBandings_,SpreadsheetApp,clear; setValues,Private/helper,Reachable,High
findMonthlyChangeSectionTitleRow_,"sheet, title",10882,10897,getChangedPMRsFromMonthlyChangeReport_,,,,Private/helper,Reachable,Low
findNextMonthlyChangeSectionTitleRow_,"sheet, afterRow",10898,10917,getChangedPMRsFromMonthlyChangeReport_,,,,Private/helper,Reachable,Low
getChangedPMRsFromMonthlyChangeReport_,reportSheet,10918,11012,rebuildChangedPMRsOnExistingMaster_,buildHeaderIndexMap_; findMonthlyChangeSectionTitleRow_; findNextMonthlyChangeSectionTitleRow_; getPMRIndex_; normalizePMR_,,,Private/helper,Reachable,Low
writeDiagnosticReport_,"sheetName, title, monthParts, summaryHeaders, summaryRows, detailHeaders, detailRows",11013,11050,,,SpreadsheetApp,clearContent; clearFormat; insertSheet; setValue; setValues,Private/helper,No static path,High
runMonthlyUpdate,,11051,11079,,buildMonthlyChangeReportForMonth_; createIndexSheet; logBestEffortWarning_; notifyErrorWithTiming_; notify_; promptForLockedYearReportMonth_; updateMasterListForMonth_,,,Public,Reachable,Low
updateMasterList,,11080,11085,,promptForLockedYearReportMonth_; updateMasterListForMonth_,,,Public,Reachable,Low
updateMasterListForMonth_,monthParts,11086,11172,runMonthlyUpdate; updateMasterList,applyFinalMasterListColorAndDisplay_; autoHidePreviousMonthSheetsAfterWorkflow_; captureHiddenSheetNames_; copyPreviousMasterListToCurrentMonth_; finalizeWorkflowAfterCreateOrUpdate_; formatSeconds_; getCurrentDemoPSheet_; getCurrentRawDataSheet_; getOrBuildMonthlyChangeReport_; getPreviousMasterListSheet_; getPreviousRawDataSheet_; hidePreviousMonthSheets_; hideSystemAndTestingSheets_; logBestEffortWarning_; markRuntimeStep_; notifyErrorWithTiming_; notify_; prepareMasterListSortOrderBeforeFormatting_; processMasterListFull_; rebuildChangedPMRsOnExistingMaster_; removeDisenrolledPMRBlocksFromMasterUsingDemoP_; restorePreviouslyHiddenSheets_; startRuntimeTiming_; trimExcessRows_; writeRuntimeTimingReport_,SpreadsheetApp,,Private/helper,Reachable,Medium
createMasterList,,11180,11252,,buildMasterListHeadersBeforeDataCopy_; buildMonthlySheetName_; copyPrimaryDemoPRowsToMasterListByHeader_; createMasterListSheetFromTemplate_; formatSeconds_; getCurrentDemoPSheet_; getDataValues_; hideReportTemplates; lockFinalOutputRowHeights_; logBestEffortWarning_; markRuntimeStep_; notify_; promptForLockedYearReportMonth_; setUniqueSheetName_; startRuntimeTiming_; syncCarePlanDueSourceIntoData_; syncUnlockedCarePlanSourceIntoData_; trimOutputSheetToDataSize_; writeRuntimeTimingReport_,SpreadsheetApp,deleteSheet; setValues,Public,Reachable,High
copyPrimaryDemoPRowsToMasterListByHeader_,"demoSheet, masterSheet, monthParts",11253,11319,createMasterList,buildOutputRows_; clearSheetRuntimeCachesForSheet_; getDOBIndex_; getDataValues_; getHeaderMap_; getHeaders_; getMasterTargetIndex_; getPMRIndex_; isPrimaryPMRRowValue_; normalizeCompareValue_; normalizePMR_,,setValues,Private/helper,Reachable,High
getMasterTargetIndex_,header,11267,11280,buildOutputRows_; copyPrimaryDemoPRowsToMasterListByHeader_,,,,Private/helper,Reachable,Low
buildOutputRows_,mode,11281,11308,copyPrimaryDemoPRowsToMasterListByHeader_,getMasterTargetIndex_; isPrimaryPMRRowValue_; normalizeCompareValue_; normalizePMR_,,,Private/helper,Reachable,Low
getMasterListTemplateHeaders_,,11320,11326,,getDefaultHeaderSets_,,,Private/helper,No static path,Low
createOrRefreshMasterListTemplate_,ss,11327,11334,getOrCreateMasterListTemplate_,createOrRefreshTemplateFromDashboard_; getSheetDefinitionByType_; loadDashboardConfig_,,,Private/helper,No static path,Low
getOrCreateMasterListTemplate_,ss,11335,11341,,createOrRefreshMasterListTemplate_,SpreadsheetApp,,Private/helper,No static path,Medium
createMasterListSheetFromTemplate_,"ss, targetName, monthParts",11342,11398,copyPreviousMasterListToCurrentMonth_; createMasterList,applyColumnWidths_; applyGovernedTextAndNumberFormats_; clearSheetRuntimeCachesForSheet_; getHeadersForSheetType_; getSheetDefinitionByType_; loadDashboardConfig_; logBestEffortWarning_; resizeSheetGrid_,SpreadsheetApp,copyTo; deleteSheet; insertSheet; setValues,Private/helper,Reachable,High
writeMasterListTitleDateBlock_,"masterSheet, monthParts",11399,11405,copyDemoPHeaderRowsToMasterList_; initializeMasterListTitleRows_,,,setValues,Private/helper,No static path,High
initializeMasterListTitleRows_,"masterSheet, monthParts",11406,11414,,clearSheetRuntimeCachesForSheet_; writeMasterListTitleDateBlock_,,,Private/helper,No static path,Low
copyDemoPHeaderRowsToMasterList_,"demoSheet, masterSheet, monthParts",11415,11432,,clearHeaderCacheForSheet_; logBestEffortWarning_; writeMasterListTitleDateBlock_,,clear; copyTo,Private/helper,No static path,High
copyQualifyingDemoPRowsToMasterList_,"demoSheet, masterSheet, monthParts",11433,11458,,buildDisenrolledPMRSetFromDemoPValues_; buildHeaderIndexMap_; getHeaders_; getPMRIndex_; loadDisenrolledExclusionPMRsForPart3_; normalizePMR_,,setValues,Private/helper,No static path,High
formatMasterListSheet_,sheet,11459,11466,rebuildChangedPMRsOnExistingMaster_,coerceToValidDate_; getMonthPartsFromTitleRows_,SpreadsheetApp,,Private/helper,Reachable,Medium
getMonthPartsFromTitleRows_,sheet,11467,11478,applyDemoPTemplateFormatting_; ensureStandardTitleRows_; formatMasterListSheet_,coerceToValidDate_,,,Private/helper,Reachable,Low
updateCopiedMasterListHeader_,"sheet, monthParts",11479,11486,copyPreviousMasterListToCurrentMonth_,,,setValue,Private/helper,Reachable,High
createIndexSheet,,11487,11688,buildMonthlyChangeReportForMonth_; finalizeWorkflowAfterCreateOrUpdate_; generateArchiveFileIndex_; handleSpreadsheetChangeForIndex; quickSystemSetup; runMonthlyUpdate,addIndexSection_; applyGlobalDefaultRowHeightsToSheet_; buildMonthlySheetNameNoDashAfterPrefix_; buildMonthlySheetName_; buildRawDataSheetName_; buildStandardMonthlySheetName_; combineIndexSheetNames_; extractFirstDateFromSheetName_; getMonthDateParts_; getThemeColorsFromBase_; loadDashboardConfig_; localSheetRow_; logBestEffortWarning_; matchingLiveSheetNames_; resizeSheetGrid_; rowColToA1_; sortIndexSheetNames_,PropertiesService; SpreadsheetApp,clearContent; clearFormat; insertSheet; setValues; sort,Public,Reachable,High
sortIndexSheetNames_,sheetNames,11509,11519,createIndexSheet; matchingLiveSheetNames_,extractFirstDateFromSheetName_,,sort,Private/helper,Reachable,High
matchingLiveSheetNames_,predicate,11520,11526,combineIndexSheetNames_; createIndexSheet,sortIndexSheetNames_,,,Private/helper,Reachable,Low
combineIndexSheetNames_,"exactNames, predicate",11527,11530,createIndexSheet,matchingLiveSheetNames_,,,Private/helper,Reachable,Low
localSheetRow_,sheetName,11531,11542,addIndexSection_; createIndexSheet,,,,Private/helper,Reachable,Low
addIndexSection_,"title, sheetNames",11543,11550,createIndexSheet,localSheetRow_,,,Private/helper,Reachable,Low
generateArchiveFileIndex_,,11689,11692,archiveMonthlyActiveSheets,createIndexSheet,,,Private/helper,Reachable,Low
setupIndexRefreshOnSheetAddedTrigger_,,11693,11709,setupSystemSheets,,ScriptApp; SpreadsheetApp,,Private/helper,Reachable,Medium
handleSpreadsheetChangeForIndex,e,11710,11730,,createIndexSheet; logBestEffortWarning_,LockService; PropertiesService; SpreadsheetApp,,Public,Reachable,Medium
enforceGlobalSheetSortOrder_,monthParts,11731,11817,archiveMonthlyActiveSheets; archiveMonthlyImportSheets; hideMonthlySheetsBySpecs_; organizeSheetTabs_,clearMonthlySheetLookupCache_; dateRank_; extractFirstDateFromSheetName_; getMonthDateParts_; isTemplate_; logBestEffortWarning_; name_; rank_,SpreadsheetApp,moveActiveSheet; sort,Private/helper,Reachable,High
name_,sheet,11736,11739,dateRank_; enforceGlobalSheetSortOrder_; rank_,,,,Private/helper,Reachable,Low
isTemplate_,sheetName,11740,11743,enforceGlobalSheetSortOrder_; rank_,,,,Private/helper,Reachable,Low
rank_,sheet,11744,11761,enforceGlobalSheetSortOrder_,isTemplate_; name_,,,Private/helper,Reachable,Low
dateRank_,sheet,11762,11768,enforceGlobalSheetSortOrder_,extractFirstDateFromSheetName_; name_,,,Private/helper,Reachable,Low
extractFirstDateFromSheetName_,sheetName,11818,11837,applyCurrentVsOlderTabColors_; autoHidePreviousMonthSheetsAfterWorkflow_; createIndexSheet; dateRank_; enforceGlobalSheetSortOrder_; sortIndexSheetNames_,createLocalDateOnly_,,,Private/helper,Reachable,Low
parseIndexMonthDate_,value,11838,11861,,coerceToValidDate_; createLocalDateOnly_,,,Private/helper,No static path,Low
organizeWorkbookTabs_,monthParts,11862,11906,,applyOutputVisibilityPolicy_; buildMonthlySheetNameNoDashAfterPrefix_; buildMonthlySheetName_; buildRawDataSheetName_; buildStandardMonthlySheetName_; getMonthlySheetByPrefixAndDate_; hideSystemAndTestingSheets_; loadDashboardConfig_; logBestEffortWarning_,SpreadsheetApp,moveActiveSheet,Private/helper,No static path,High
hideSystemAndTestingSheets_,timing,11910,11926,hideSystemSheetsNow; organizeWorkbookTabs_; updateMasterListForMonth_,isSystemOrTestingSheet_; logBestEffortWarning_; markFrameworkStep_,SpreadsheetApp,,Private/helper,Reachable,Medium
getSystemAndTestingSheetNames_,,11927,11942,isSystemOrTestingSheet_; showSystemSheetsNow,,,,Private/helper,Reachable,Low
isSystemOrTestingSheet_,sheet,11943,11960,hideSystemAndTestingSheets_; saveActiveLayoutToDashboardSettings; showSystemSheetsNow,getSystemAndTestingSheetNames_,,,Private/helper,Reachable,Low
assignSortOrderAndHideExtraRows,,11961,11968,,applyDashboardSortOrderAlternatingColors_; notify_; sortSheetAlphabeticallyByParticipantName_,SpreadsheetApp,,Public,No static path,Medium
applySortOrderDisplayForMasterList_,sheet,11969,11974,,applyDashboardSortOrderAlternatingColors_; sortSheetAlphabeticallyByParticipantName_,SpreadsheetApp,,Private/helper,No static path,Medium
buildParticipantBlocksForSortOrder_,"values, headerMap, pmrIdx",11975,12001,assignPrimaryPMRRowsInData_,normalizePMR_,,,Private/helper,Reachable,Low
showAllMasterListRows,,12002,12009,,notify_,SpreadsheetApp,,Public,Reachable,Medium
groupMasterListRowsByPMR_,sheet,12010,12014,rebuildChangedPMRsOnExistingMaster_,hideNonPrimaryPMRRows_; sortMasterListByParticipantNameAndPMR_,,,Private/helper,Reachable,Low
hideRowsWithBlankDOB_,sheet,12015,12018,rebuildChangedPMRsOnExistingMaster_,hideNonPrimaryPMRRows_,,,Private/helper,Reachable,Low
sortMasterListByParticipantNameAndPMR_,sheet,12019,12078,groupMasterListRowsByPMR_,buildHeaderIndexMap_; clearAllRowGroupsIfPossible_; getHeaders_; getPMRIndex_; getPrimaryRowScore_; normalizeKeyPart_; normalizePMR_; notify_,SpreadsheetApp,setValues; sort,Private/helper,Reachable,High
getPrimaryRowScore_,"row, headerMap",12079,12097,sortMasterListByParticipantNameAndPMR_,normalizeCompareValue_,,,Private/helper,Reachable,Low
hideNonPrimaryPMRRows_,sheet,12098,12122,groupMasterListRowsByPMR_; hideRowsWithBlankDOB_,buildHeaderIndexMap_; getHeaders_; getPMRIndex_; hideRowNumberBatches_; normalizePMR_,SpreadsheetApp,,Private/helper,Reachable,Medium
hideRowNumberBatches_,"sheet, rowNumbers",12123,12140,hideNonPrimaryPMRRows_; hideOldDisenrolledRows_,,,sort,Private/helper,Reachable,High
clearAllRowGroupsIfPossible_,sheet,12141,12152,sortMasterListByParticipantNameAndPMR_,,,,Private/helper,Reachable,Low
prepareMasterListSortOrderBeforeFormatting_,sheet,12153,12159,updateMasterListForMonth_,assignPrimaryPMRRows_; sortSheetAlphabeticallyByParticipantName_,SpreadsheetApp,,Private/helper,Reachable,Medium
applyFinalMasterListColorAndDisplay_,sheet,12160,12165,applyMasterListDisplaySettings_; updateMasterListForMonth_,applyDashboardSortOrderAlternatingColors_,SpreadsheetApp,,Private/helper,Reachable,Medium
applyMasterListDisplaySettings_,sheet,12166,12169,,applyFinalMasterListColorAndDisplay_,SpreadsheetApp,,Private/helper,No static path,Medium
processMasterListFull_,"masterSheet, monthParts, pmrFilter, timing",12170,12177,rebuildChangedPMRsOnExistingMaster_; updateMasterListForMonth_,ensureBannerSummaryOutputHeaders_; ensureContactOutputHeaders_; ensureHeaders_; markRuntimeStep_; processMasterListSingleDataPass_,,,Private/helper,Reachable,Low
processMasterListDataOnly_,"masterSheet, pmrFilter, timing",12178,12181,rebuildChangedPMRsOnExistingMaster_,processMasterListSingleDataPass_,,,Private/helper,Reachable,Low
processMasterListSingleDataPass_,"masterSheet, monthParts, pmrFilter, includeMonthlySyncs, timing",12182,12216,processMasterListDataOnly_; processMasterListFull_,assignPrimaryPMRRows_; combineAddressesData_; combineNotesSummaryData_; ensureBannerSummaryOutputHeaders_; ensureContactOutputHeaders_; ensureHeaders_; getDataValues_; handleLanguageData_; markRuntimeStep_; populateParticipantNameData_; runMasterContactProcessData_; splitPhoneNumbersData_; syncMasterListMonthlySourcesIntoData_; updateBannerColumnData_,,setValues,Private/helper,Reachable,High
populateParticipantNameData_,"data, pmrFilter",12217,12234,createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; processDemoPDataWithFillBlankMask_; processDemoPFreshRowsInMemory_; processMasterListSingleDataPass_,normalizeCompareValue_; shouldProcessRowByPMR_,,,Private/helper,Reachable,Low
populateDemoPNameData_,"data, pmrFilter",12235,12252,createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; processDemoPDataWithFillBlankMask_; processDemoPFreshRowsInMemory_,normalizeCompareValue_; shouldProcessRowByPMR_,,,Private/helper,Reachable,Low
updateBannerColumnData_,"data, pmrFilter",12253,12277,createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; processDemoPFreshRowsInMemory_; processMasterListSingleDataPass_,normalizeCompareValue_; shouldProcessRowByPMR_,,,Private/helper,Reachable,Low
combineAddressesData_,"data, pmrFilter",12278,12291,createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; processDemoPDataWithFillBlankMask_; processDemoPFreshRowsInMemory_; processMasterListSingleDataPass_,shouldProcessRowByPMR_,,,Private/helper,Reachable,Low
handleLanguageData_,"data, pmrFilter",12292,12313,createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; processDemoPDataWithFillBlankMask_; processDemoPFreshRowsInMemory_; processMasterListSingleDataPass_,shouldProcessRowByPMR_,,,Private/helper,Reachable,Low
splitPhoneNumbersData_,"data, pmrFilter",12314,12340,createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; processDemoPDataWithFillBlankMask_; processDemoPFreshRowsInMemory_; processMasterListSingleDataPass_,shouldProcessRowByPMR_,,,Private/helper,Reachable,Low
runMasterContactProcessData_,"data, pmrFilter",12341,12345,createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; processDemoPDataWithFillBlankMask_; processDemoPFreshRowsInMemory_; processMasterListSingleDataPass_,writePMRContactsToParticipantRows_,,,Private/helper,Reachable,Low
combineNotesSummaryData_,"data, pmrFilter",12346,12371,createActiveDemoPFromRawData_; processBlankContactSummariesOnDemoP_; processDemoPAsWorkingSource_; processDemoPDataWithFillBlankMask_; processDemoPFreshRowsInMemory_; processMasterListSingleDataPass_,normalizeCompareValue_; shouldProcessRowByPMR_,,,Private/helper,Reachable,Low
rebuildChangedPMRsFromDemoP_,"currentDemo, currentMaster, reportSheet, changedInfo, monthParts, runProcessing",12372,12382,,rebuildChangedPMRsOnExistingMaster_,,,Private/helper,No static path,Low
copyPreviousMasterListToCurrentMonth_,"previousMaster, monthParts",12383,12408,updateMasterListForMonth_,buildMonthlySheetName_; clearSheetRuntimeCachesForSheet_; createMasterListSheetFromTemplate_; ensureBannerSummaryOutputHeaders_; ensureContactOutputHeaders_; ensureHeaders_; updateCopiedMasterListHeader_,SpreadsheetApp,deleteSheet; setValues,Private/helper,Reachable,High
rebuildChangedPMRsOnExistingMaster_,"currentDemo, currentMaster, reportSheet, monthParts, runFullProcessing, timing",12409,12435,rebuildChangedPMRsFromDemoP_; updateMasterListForMonth_,formatMasterListSheet_; getChangedPMRsFromMonthlyChangeReport_; groupMasterListRowsByPMR_; hideRowsWithBlankDOB_; markRuntimeStep_; processMasterListDataOnly_; processMasterListFull_; removeDisenrolledPMRBlocksFromMasterUsingDemoP_; updateMasterListFromMonthlyChangeActions_,,,Private/helper,Reachable,Low
updateMasterListFromMonthlyChangeActions_,"currentDemo, currentMaster, reportSheet, monthParts, changedInfo, timing",12436,12465,rebuildChangedPMRsOnExistingMaster_,copyChangedPMRsFromDemoPToMasterList_; deletePMRBlocksFromMasterListBySet_; getPMRsForMonthlyChangeSections_; markRuntimeStep_; mergeSecondaryRowsFromDemoPForPMRs_; updatePrimaryRowsFromDemoPForPMRs_,,,Private/helper,Reachable,Low
getPMRsForMonthlyChangeSections_,"changedInfo, sectionsToMatch",12466,12476,updateMasterListFromMonthlyChangeActions_,,,,Private/helper,Reachable,Low
deletePMRBlocksFromMasterListBySet_,"masterSheet, pmrSet, reportSheet, monthParts, reasonText",12477,12491,updateMasterListFromMonthlyChangeActions_,buildRowsByPMR_; clearSheetRuntimeCachesForSheet_; deleteRowNumberBatches_,,,Private/helper,Reachable,Low
updatePrimaryRowsFromDemoPForPMRs_,"demoSheet, masterSheet, pmrSet, monthParts",12492,12539,updateMasterListFromMonthlyChangeActions_,buildMergeRowsByPMRFromData_; clearSheetRuntimeCachesForSheet_; getDataValues_; getPrimaryMergeRowItem_; getPrimaryRowChangedColumnDetails_; mutateMasterRowColumnsFromDemoRow_,,setValues,Private/helper,Reachable,High
mergeSecondaryRowsFromDemoPForPMRs_,"demoSheet, masterSheet, pmrSet, monthParts",12540,12611,updateMasterListFromMonthlyChangeActions_,buildMappedMasterRowFromDemoRow_; buildMergeRowsByPMRFromData_; buildSecondaryMergeKeyMapForRows_; clearSheetRuntimeCachesForSheet_; deleteRowNumberBatches_; getDataValues_; getMergeAuditChangedFields_; mutateMasterRowColumnsFromDemoRow_,,setValues,Private/helper,Reachable,High
buildMappedMasterRowFromDemoRow_,"demoRow, demoHeaders, demoHeaderMap, masterHeaders, masterHeaderMap, monthParts, sourceSheetName, statusText",12612,12621,copyChangedPMRsFromDemoPToMasterList_; mergeSecondaryRowsFromDemoPForPMRs_,,,,Private/helper,Reachable,Low
mutateMasterRowColumnsFromDemoRow_,"rowValues, masterHeaderMap, demoRow, demoHeaderMap, headersToUpdate, monthParts, sourceSheetName, statusText",12622,12631,mergeSecondaryRowsFromDemoPForPMRs_; updatePrimaryRowsFromDemoPForPMRs_,,,,Private/helper,Reachable,Low
hideSystemSheetsNow,,12632,12639,hideSystemSheets_,hideSystemAndTestingSheets_; notify_; runFrameworkTimed_,,,Public,Reachable,Low
showSystemSheetsNow,,12640,12665,showSystemSheets_,getSystemAndTestingSheetNames_; isSystemOrTestingSheet_; logBestEffortWarning_; markFrameworkStep_; notify_; runFrameworkTimed_,SpreadsheetApp,,Public,Reachable,Medium
getPrimaryMergeRowItem_,"rows, headerMap",12666,12691,updatePrimaryRowsFromDemoPForPMRs_,,,,Private/helper,Reachable,Low
getPrimaryRowChangedColumnDetails_,"masterRow, masterHeaderMap, demoRow, demoHeaderMap",12692,12761,updatePrimaryRowsFromDemoPForPMRs_,formatMergeAuditValueForDisplay_; valuesAreEqual_,,,Private/helper,Reachable,Low
formatMergeAuditValueForDisplay_,value,12762,12771,getPrimaryRowChangedColumnDetails_,formatDateDisplay_,,,Private/helper,Reachable,Low
getMergeAuditParticipantName_,"demoRows, demoHeaderMap, masterRows, masterHeaderMap",12772,12777,,getMergeAuditParticipantNameFromRows_,,,Private/helper,No static path,Low
getMergeAuditParticipantNameFromRows_,"rows, headerMap",12778,12798,getMergeAuditParticipantName_,,,,Private/helper,No static path,Low
buildMergeAuditContactSummary_,"row, headerMap",12799,12822,,getMergeRowValue_,,,Private/helper,No static path,Low
getMergeAuditChangedFields_,"masterRow, masterHeaderMap, demoRow, demoHeaderMap",12823,12855,mergeSecondaryRowsFromDemoPForPMRs_,valuesAreEqual_,,,Private/helper,Reachable,Low
buildMergeRowsByPMRFromData_,data,12856,12879,mergeSecondaryRowsFromDemoPForPMRs_; updatePrimaryRowsFromDemoPForPMRs_,getPMRIndex_; normalizePMR_,,,Private/helper,Reachable,Low
buildSecondaryMergeKeyMapForRows_,"rows, headerMap, pmr",12880,12909,mergeSecondaryRowsFromDemoPForPMRs_,buildContactMergeRowKey_,,,Private/helper,Reachable,Low
buildMergeKeyMapForRows_,"rows, headerMap, pmr",12910,12939,,buildContactMergeRowKey_,,,Private/helper,No static path,Low
buildContactMergeRowKey_,"row, headerMap, pmr, fallbackPosition",12940,12963,buildMergeKeyMapForRows_; buildSecondaryMergeKeyMapForRows_,getMergeRowValue_,,,Private/helper,Reachable,Low
getMergeRowValue_,"row, headerMap, possibleHeaders",12964,12971,buildContactMergeRowKey_; buildMergeAuditContactSummary_,,,,Private/helper,Reachable,Low
createDisenrolledList,,12979,13008,,getCurrentDemoPSheet_; hideOldDisenrolledRows_; markFrameworkStep_; moveDisenrolledPMRsFromDemoPToExclusion_; notify_; promptForLockedYearReportMonth_; runFrameworkTimed_; setLastRawDataDisenrolledBuildResult_,SpreadsheetApp,,Public,Reachable,Medium
