Function name,Start line,End line,Function type,Primary responsibility,Module or logical ownership,Functions called,Functions calling it (determinable),Dependencies,External services used,Sheets accessed,Configuration objects referenced,Dashboard components referenced,Read operations,Write operations,Destructive operations,Trigger usage,Error handling,Logging,Complexity assessment
getMonthDateParts_,1026,1049,Internal/private; Utility,Resolve or return month date parts,Date/month utilities,coerceToValidDate_; formatDateForSheetName_,createIndexSheet; enforceGlobalSheetSortOrder; ensureStandardTitleRows_; promptForLockedYearReportMonth_; runDashboardQualityRawDataValidation_,coerceToValidDate_; formatDateForSheetName_,Session; Utilities,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 24, branches 1)"
formatDateForSheetName_,1051,1053,Formatter; Internal/private; Utility,Format date for sheet name,Sheet utilities,None detected,buildDashboardOutputSheetName_; buildMonthlyChangeReportForMonth_; getMonthDateParts_; preflightMonthlyUpdateForMonth_,None detected,Session; Utilities,DATE_SHEET_FORMAT,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
formatDateDisplay_,1055,1058,Formatter; Internal/private; Utility,Format date display,Date/month utilities,coerceToValidDate_,displayValueForReport_; formatMergeAuditValueForDisplay_; updateDemoPMonthlySyncForMonth_,coerceToValidDate_,Session; Utilities,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 4, branches 1)"
dateKey_,1060,1063,Internal/private; Utility,Implement date key,Date/month utilities,coerceToValidDate_,getMonthlySheetLookupCacheKey_; isSameDate_,coerceToValidDate_,Session; Utilities,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 4, branches 1)"
isSameDate_,1065,1067,Internal/private; Utility,Boolean test for same date,Date/month utilities,dateKey_,buildMonthlyChangeSectionRows_; compareRawDemoPForSectionReport_,dateKey_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
isSameMonth_,1069,1071,Internal/private; Utility,Boolean test for same month,Date/month utilities,monthKey_,No static caller detected,monthKey_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
buildMonthlySheetName_,1074,1077,Process function; Internal/private,Build monthly sheet name,Sheet utilities,buildStandardMonthlySheetName_,buildMonthlyChangeReportForMonth_; createMasterListForMonth_; updateDemoPMonthlySyncForMonth_,buildStandardMonthlySheetName_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 4, branches 0)"
buildStandardMonthlySheetName_,1079,1083,Process function; Internal/private,Build standard monthly sheet name,Sheet utilities,coerceToValidDate_,buildMonthlySheetName_; getMonthlySheetByPrefixAndDate_,coerceToValidDate_,Session; Utilities,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 0)"
getNewestFormattedMonthlySheetByPrefix_,1085,1114,Formatter; Internal/private; Utility,Resolve or return newest formatted monthly sheet by prefix,Sheet utilities,monthKey_; parseStandardMonthlySheetDateFromName_,getCurrentBannersSheet_; getCurrentCarePlanDueSheet_; getCurrentUnlockedCarePlanSheet_; getMonthlySheetByPrefixAndDate_,monthKey_; parseStandardMonthlySheetDateFromName_,None detected,None detected,None detected,None detected,getSheets(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 30, branches 6)"
getMonthlySheetByPrefixAndDate_,1116,1148,Internal/private; Utility,Resolve or return monthly sheet by prefix and date,Sheet utilities,buildStandardMonthlySheetName_; getMonthlySheetLookupCacheKey_; getNewestFormattedMonthlySheetByPrefix_; getRuntimeCache_,getCurrentBannersSheet_; getCurrentCarePlanDueSheet_; getCurrentDemoPSheet_; getCurrentRawDataSheet_; getCurrentUnlockedCarePlanSheet_; getDemoPMonthlySyncChangedPMRs_; getPreviousRawDataSheet_,buildStandardMonthlySheetName_; getMonthlySheetLookupCacheKey_; getNewestFormattedMonthlySheetByPrefix_; getRuntimeCache_,None detected,None detected,None detected,None detected,getSheetByName(),None detected,None detected,None detected,try/catch,None detected,"Low (LOC 33, branches 6)"
setUniqueSheetName_,1150,1180,Internal/private,Set unique sheet name,Sheet utilities,clearMonthlySheetLookupCache_; clearSheetRuntimeCachesForSheet_,createDisenrolledExclusionSheetFromDashboardTemplate_; createMasterListForMonth_; createTemplateFromScriptDefaultsForActiveBuild_; getOrCreateDemoPArchiveSheet_; processDemoP,clearMonthlySheetLookupCache_; clearSheetRuntimeCachesForSheet_,None detected,None detected,None detected,None detected,getSheetByName(),setName(),None detected,None detected,None explicit,None detected,"Low (LOC 31, branches 4)"
setRequiredSheetName_,1183,1202,Internal/private,Set required sheet name,Sheet utilities,clearMonthlySheetLookupCache_; clearSheetRuntimeCachesForSheet_,buildMonthlyChangeReportForMonth_,clearMonthlySheetLookupCache_; clearSheetRuntimeCachesForSheet_,None detected,. Delete or rename the existing sheet before rerunning this workflow.; Sheet already exists: ,None detected,None detected,getSheetByName(),setName(),None detected,None detected,throws errors,None detected,"Low (LOC 20, branches 3)"
getHeaders_,1205,1223,Internal/private; Utility,Resolve or return headers,Header/schema utilities,getHeaderCacheKey_; getRuntimeCache_,appendDemoPArchiveRows_; applyDashboardSortOrderAlternatingColors_; applyDemoPDateFormattingByHeader_; assertActiveRawDataSourceSheet_; buildMasterListHeadersBeforeDataCopy_; buildSourceMapByCompositeKeyForDemoPBanner_; copyPrimaryDemoPRowsToMasterListByHeader_; countBlankRatioForHeaders_; createMasterListSheetFromTemplate_; ensureHeaders_; ensurePrimaryPMRRowColumn_; getDataValues_; getHeaderMap_; getTemplateDrivenActiveSheetContext_; hideNonPrimaryPMRRows_; moveDisenrolledPMRsFromDemoPToExclusion_; removeActiveDemoPPMRsFromDisenrolledExclusion_; runDashboardQualityDemoPValidation_; sortMasterListByParticipantNameAndPMR_; sortSheetAlphabeticallyByParticipantName_; updateDemoPMonthlySyncForMonth_; validateStagedMasterListBeforeSwap_,HEADER_ROW; getHeaderCacheKey_; getRuntimeCache_,None detected,None detected,HEADER_ROW,None detected,getLastColumn(); getRange(); getValues(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 19, branches 2)"
getHeaderMap_,1225,1238,Internal/private; Utility,Resolve or return header map,Header/schema utilities,buildHeaderIndexMap_; getHeaderCacheKey_; getHeaders_; getRuntimeCache_,copyPrimaryDemoPRowsToMasterListByHeader_; getDataValues_,HEADER_ROW; buildHeaderIndexMap_; getHeaderCacheKey_; getHeaders_; getRuntimeCache_,None detected,None detected,HEADER_ROW,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 14, branches 2)"
buildHeaderIndexMap_,1240,1247,Process function; Internal/private; Utility,Build header index map,Index/archive lifecycle,None detected,appendDemoPArchiveRows_; appendDisenrolledDeltasToExclusionSheet_; assertActiveRawDataSourceSheet_; buildDemoPFreshRowsForPMRs_; buildSourceMapByCompositeKeyForDemoPBanner_; countBlankRatioForHeaders_; createActiveDemoPFromRawData_; ensureHeaders_; ensurePrimaryPMRRowColumn_; flattenDemoPContactRowsInMemory_; getHeaderMap_; getRawDataSourceDataForOutput_; hideNonPrimaryPMRRows_; loadDisenrolledExclusionPMRsForPart3_; mapRowsToHeaders_; moveDisenrolledPMRsFromDemoPToExclusion_; removeActiveDemoPPMRsFromDisenrolledExclusion_; runDashboardQualityDemoPValidation_; sortMasterListByParticipantNameAndPMR_; sortSheetAlphabeticallyByParticipantName_; updateExistingDemoPFromRawData_; validateDemoPMonthlySyncReplacementCoverage_; validateStagedMasterListBeforeSwap_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 8, branches 1)"
findHeaderIndex_,1249,1254,Internal/private; Utility,Implement find header index,Index/archive lifecycle,None detected,appendDisenrolledDeltasToExclusionSheet_; buildDisenrolledPMRSetFromDemoPValues_; buildMonthlyChangeSectionRows_; getDOBIndex_; getPMRIndex_; moveDisenrolledPMRsFromDemoPToExclusion_; removeActiveDemoPPMRsFromDisenrolledExclusion_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 2)"
normalizeHeader_,1256,1261,Internal/private; Utility,Implement normalize header,Header/schema utilities,None detected,buildTemplateFormatSignature_; isDateLikeHeader_; isPMRHeaderValue_; loadColumnDefinitions_; loadSheetHeaders_; normalizeDashboardSheetTypeKey_; rowLooksLikeParticipantHeader_; upsertDashboardColumnDefinitionRows_; validateBannerFormatterOutput_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 0)"
normalizePMR_,1264,1269,Internal/private; Utility,Implement normalize pmr,Shared framework utilities,None detected,appendDisenrolledDeltasToExclusionSheet_; assignPrimaryPMRRowsInData_; assignPrimaryPMRRows_; buildDemoPFreshRowsForPMRs_; buildDemoPMonthlySyncRetainedRows_; buildDisenrolledPMRSetFromDemoPValues_; buildMergeRowsByPMRFromData_; buildParticipantBlocksForSortOrder_; buildParticipantContactKey_; buildRowsByPMR_; buildSourceHashByPMR_; copyPrimaryDemoPRowsToMasterListByHeader_; flattenDemoPContactRowsInMemory_; getDemoPMonthlySyncChangedPMRs_; getRawDemoPDataForCompare_; hideNonPrimaryPMRRows_; isPMRHeaderValue_; loadDisenrolledExclusionPMRsForPart3_; moveDisenrolledPMRsFromDemoPToExclusion_; populateUniversalMetadataColumns_; removeActiveDemoPPMRsFromDisenrolledExclusion_; runDashboardQualityRawDataValidation_; shouldProcessRowByPMR_; sortMasterListByParticipantNameAndPMR_; validateDemoPMonthlySyncReplacementCoverage_; writePMRContactsToParticipantRows_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 1)"
getPMRIndex_,1271,1273,Internal/private; Utility,Resolve or return pmrindex,Index/archive lifecycle,findHeaderIndex_,appendDemoPArchiveRows_; appendDisenrolledDeltasToExclusionSheet_; assertActiveRawDataSourceSheet_; assignPrimaryPMRRowsInData_; assignPrimaryPMRRows_; buildDemoPMonthlySyncRetainedRows_; buildDisenrolledPMRSetFromDemoPValues_; buildMergeRowsByPMRFromData_; buildMonthlyChangeSectionRows_; buildRowsByPMR_; copyPrimaryDemoPRowsToMasterListByHeader_; flattenDemoPContactRowsInMemory_; getDemoPMonthlySyncChangedPMRs_; getRawDemoPDataForCompare_; hideNonPrimaryPMRRows_; loadDisenrolledExclusionPMRsForPart3_; moveDisenrolledPMRsFromDemoPToExclusion_; populateUniversalMetadataColumns_; removeActiveDemoPPMRsFromDisenrolledExclusion_; runDashboardQualityRawDataValidation_; shouldProcessRowByPMR_; sortMasterListByParticipantNameAndPMR_; syncRawDataBannerColumns_; updateDemoPMonthlySyncForMonth_; validateDemoPMonthlySyncReplacementCoverage_; validateRawDataPreflightForDemoP_; validateStagedMasterListBeforeSwap_; writePMRContactsToParticipantRows_,findHeaderIndex_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
validateRawDataPreflightForDemoP_,1275,1305,Validator; Internal/private,Validate raw data preflight for demo p,Demo P,getDataValues_; getPMRIndex_,buildDemoPFreshRowsForPMRs_; createActiveDemoPFromRawData_; getValidatedRawDataSheetForDemoPBuild_; updateExistingDemoPFromRawData_,DATA_START_ROW; HEADER_ROW; getDataValues_; getPMRIndex_,None detected, stopped: Raw Data is missing a Participant PMR header. ;  stopped: Raw Data sheet was not found. Format Raw Data first.; Demo P Raw Data preflight,DATA_START_ROW; HEADER_ROW,None detected,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 31, branches 4)"
getDOBIndex_,1307,1309,Internal/private; Utility,Resolve or return dobindex,Index/archive lifecycle,findHeaderIndex_,assignPrimaryRowForBlock_; buildMonthlyChangeSectionRows_; compareSingleFieldAndAdd_; copyPrimaryDemoPRowsToMasterListByHeader_; getRawDemoPDataForCompare_; rowsWithDOBOnlyForSection_; shouldProcessRowByPMR_,findHeaderIndex_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
normalizeKeyPart_,1311,1327,Internal/private; Utility,Implement normalize key part,Shared framework utilities,None detected,buildParticipantContactKey_; buildSourceMapByCompositeKeyForDemoPBanner_; buildSourceMapByCompositeKeyForPart5_; buildSourceMapBySingleKeyForPart5_; runDashboardQualityRawDataValidation_; sortMasterListByParticipantNameAndPMR_; syncRawDataBannerColumns_; syncRowsFromSourceMapData_; syncRowsFromSourceMap_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 17, branches 2)"
getDataValues_,1330,1366,Internal/private; Utility,Resolve or return data values,Shared framework utilities,getHeaderMap_; getHeaders_; getSheetDimensions_,assignPrimaryPMRRows_; buildRowsByPMR_; buildSourceMapByCompositeKeyForPart5_; buildSourceMapBySingleKeyForPart5_; copyPrimaryDemoPRowsToMasterListByHeader_; createMasterListForMonth_; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_; getDemoPMonthlySyncChangedPMRs_; getRawDemoPDataForCompare_; hideOldDisenrolledRows_; moveDisenrolledPMRsFromDemoPToExclusion_; processDemoPAsWorkingSource_; processMasterListSingleDataPass_; processRawDataApprovedSyncColumns_; removeActiveDemoPPMRsFromDisenrolledExclusion_; runDashboardQualityRawDataValidation_; syncRawDataBannerColumns_; syncRowsFromSourceMap_; updateDemoPMonthlySyncForMonth_; validateRawDataPreflightForDemoP_,DATA_START_ROW; HEADER_ROW; getHeaderMap_; getHeaders_; getSheetDimensions_,None detected,None detected,DATA_START_ROW; HEADER_ROW,None detected,getRange(); getValues(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 37, branches 1)"
getRawDataSourceDataForOutput_,1370,1402,Internal/private; Utility,Resolve or return raw data source data for output,Raw Data,buildHeaderIndexMap_; rawDataSourceHeaderRow_,buildRawDataInPlaceFormattingContext_,buildHeaderIndexMap_; rawDataSourceHeaderRow_,None detected,None detected,None detected,None detected,getLastColumn(); getLastRow(); getRange(); getValues(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 33, branches 3)"
